Date,Nifty50
2009-03-30,2978.14990234375
2009-03-31,3020.949951171875
2009-04-01,3060.35009765625
2009-04-02,3211.050048828125
2009-04-06,3256.60009765625
2009-04-08,3342.949951171875
2009-04-09,3342.050048828125
2009-04-13,3382.60009765625
2009-04-15,3484.14990234375
2009-04-16,3369.5
2009-04-17,3384.39990234375
2009-04-20,3377.10009765625
2009-04-21,3365.300048828125
2009-04-22,3330.300048828125
2009-04-23,3423.699951171875
2009-04-24,3480.75
2009-04-27,3470.0
2009-04-28,3362.35009765625
2009-04-29,3473.949951171875
2009-05-04,3654.0
2009-05-05,3661.89990234375
2009-05-06,3625.050048828125
2009-05-07,3683.89990234375
2009-05-08,3620.699951171875
2009-05-11,3554.60009765625
2009-05-12,3681.10009765625
2009-05-13,3635.25
2009-05-14,3593.449951171875
2009-05-15,3671.64990234375
2009-05-18,4323.14990234375
2009-05-19,4318.4501953125
2009-05-20,4270.2998046875
2009-05-21,4210.89990234375
2009-05-22,4238.5
2009-05-25,4237.5498046875
2009-05-26,4116.7001953125
2009-05-27,4276.0498046875
2009-05-28,4337.10009765625
2009-05-29,4448.9501953125
2009-06-01,4529.89990234375
2009-06-02,4525.25
2009-06-03,4530.7001953125
2009-06-04,4572.64990234375
2009-06-05,4586.89990234375
2009-06-08,4429.89990234375
2009-06-09,4550.9501953125
2009-06-10,4655.25
2009-06-11,4637.7001953125
2009-06-12,4583.39990234375
2009-06-15,4484.0
2009-06-16,4517.7998046875
2009-06-17,4356.14990234375
2009-06-18,4251.39990234375
2009-06-19,4313.60009765625
2009-06-22,4235.25
2009-06-23,4247.0
2009-06-24,4292.9501953125
2009-06-25,4241.85009765625
2009-06-26,4375.5
2009-06-29,4390.9501953125
2009-06-30,4291.10009765625
2009-07-01,4340.89990234375
2009-07-02,4348.85009765625
2009-07-03,4424.25
2009-07-06,4165.7001953125
2009-07-07,4202.14990234375
2009-07-08,4078.89990234375
2009-07-09,4080.949951171875
2009-07-10,4003.89990234375
2009-07-13,3974.050048828125
2009-07-14,4111.39990234375
2009-07-15,4233.5
2009-07-16,4231.39990234375
2009-07-17,4374.9501953125
2009-07-20,4502.25
2009-07-21,4469.10009765625
2009-07-22,4398.89990234375
2009-07-23,4523.75
2009-07-24,4568.5498046875
2009-07-27,4572.2998046875
2009-07-28,4564.10009765625
2009-07-29,4513.5
2009-07-30,4571.4501953125
2009-07-31,4636.4501953125
2009-08-03,4711.39990234375
2009-08-04,4680.5
2009-08-05,4694.14990234375
2009-08-06,4585.5
2009-08-07,4481.39990234375
2009-08-10,4437.64990234375
2009-08-11,4471.35009765625
2009-08-12,4457.5
2009-08-13,4605.0
2009-08-14,4580.0498046875
2009-08-17,4387.89990234375
2009-08-18,4458.89990234375
2009-08-19,4394.10009765625
2009-08-20,4453.4501953125
2009-08-21,4528.7998046875
2009-08-24,4642.7998046875
2009-08-25,4659.35009765625
2009-08-26,4680.85009765625
2009-08-27,4688.2001953125
2009-08-28,4732.35009765625
2009-08-31,4662.10009765625
2009-09-01,4625.35009765625
2009-09-02,4608.35009765625
2009-09-03,4593.5498046875
2009-09-04,4680.39990234375
2009-09-07,4782.89990234375
2009-09-08,4805.25
2009-09-09,4814.25
2009-09-10,4819.39990234375
2009-09-11,4829.5498046875
2009-09-14,4808.60009765625
2009-09-15,4892.10009765625
2009-09-16,4958.39990234375
2009-09-17,4965.5498046875
2009-09-18,4976.0498046875
2009-09-22,5020.2001953125
2009-09-23,4969.9501953125
2009-09-24,4986.5498046875
2009-09-25,4958.9501953125
2009-09-29,5006.85009765625
2009-09-30,5083.9501953125
2009-10-01,5083.39990234375
2009-10-05,5003.2001953125
2009-10-06,5027.39990234375
2009-10-07,4985.75
2009-10-08,5002.25
2009-10-09,4945.2001953125
2009-10-12,5054.25
2009-10-14,5118.2001953125
2009-10-15,5108.85009765625
2009-10-16,5142.14990234375
2009-10-20,5114.4501953125
2009-10-21,5063.60009765625
2009-10-22,4988.60009765625
2009-10-23,4997.0498046875
2009-10-26,4970.89990234375
2009-10-27,4846.7001953125
2009-10-28,4826.14990234375
2009-10-29,4750.5498046875
2009-10-30,4711.7001953125
2009-11-03,4563.89990234375
2009-11-04,4710.7998046875
2009-11-05,4765.5498046875
2009-11-06,4796.14990234375
2009-11-09,4898.39990234375
2009-11-10,4881.7001953125
2009-11-11,5003.9501953125
2009-11-12,4952.64990234375
2009-11-13,4998.9501953125
2009-11-16,5058.0498046875
2009-11-17,5062.25
2009-11-18,5054.7001953125
2009-11-19,4989.0
2009-11-20,5052.4501953125
2009-11-23,5103.5498046875
2009-11-24,5090.5498046875
2009-11-25,5108.14990234375
2009-11-26,5005.5498046875
2009-11-27,4941.75
2009-11-30,5032.7001953125
2009-12-01,5122.0
2009-12-02,5123.25
2009-12-03,5131.7001953125
2009-12-04,5108.89990234375
2009-12-07,5066.7001953125
2009-12-08,5147.9501953125
2009-12-09,5112.0
2009-12-10,5134.64990234375
2009-12-11,5117.2998046875
2009-12-14,5105.7001953125
2009-12-15,5033.0498046875
2009-12-16,5042.0498046875
2009-12-17,5041.75
2009-12-18,4987.7001953125
2009-12-21,4952.60009765625
2009-12-22,4985.85009765625
2009-12-23,5144.60009765625
2009-12-24,5178.39990234375
2009-12-29,5187.9501953125
2009-12-30,5169.4501953125
2009-12-31,5201.0498046875
2010-01-04,5232.2001953125
2010-01-05,5277.89990234375
2010-01-06,5281.7998046875
2010-01-07,5263.10009765625
2010-01-08,5244.75
2010-01-11,5249.39990234375
2010-01-12,5210.39990234375
2010-01-13,5233.9501953125
2010-01-14,5259.89990234375
2010-01-15,5252.2001953125
2010-01-18,5274.85009765625
2010-01-19,5225.64990234375
2010-01-20,5221.7001953125
2010-01-21,5094.14990234375
2010-01-22,5036.0
2010-01-25,5007.89990234375
2010-01-27,4853.10009765625
2010-01-28,4867.25
2010-01-29,4882.0498046875
2010-02-01,4899.7001953125
2010-02-02,4830.10009765625
2010-02-03,4931.85009765625
2010-02-04,4845.35009765625
2010-02-05,4718.64990234375
2010-02-08,4760.39990234375
2010-02-09,4792.64990234375
2010-02-10,4757.2001953125
2010-02-11,4826.85009765625
2010-02-15,4801.9501953125
2010-02-16,4855.75
2010-02-17,4914.0
2010-02-18,4887.75
2010-02-19,4844.89990234375
2010-02-22,4856.39990234375
2010-02-23,4870.0498046875
2010-02-24,4858.60009765625
2010-02-25,4859.75
2010-02-26,4922.2998046875
2010-03-02,5017.0
2010-03-03,5088.10009765625
2010-03-04,5080.25
2010-03-05,5088.7001953125
2010-03-08,5124.0
2010-03-09,5101.5
2010-03-10,5116.25
2010-03-11,5133.39990234375
2010-03-12,5137.0
2010-03-15,5128.89990234375
2010-03-16,5198.10009765625
2010-03-17,5231.89990234375
2010-03-18,5245.89990234375
2010-03-19,5262.7998046875
2010-03-22,5205.2001953125
2010-03-23,5225.2998046875
2010-03-25,5260.39990234375
2010-03-26,5282.0
2010-03-29,5302.85009765625
2010-03-30,5262.4501953125
2010-03-31,5249.10009765625
2010-04-01,5290.5
2010-04-05,5368.39990234375
2010-04-06,5366.0
2010-04-07,5374.64990234375
2010-04-08,5304.4501953125
2010-04-09,5361.75
2010-04-12,5339.7001953125
2010-04-13,5322.9501953125
2010-04-15,5273.60009765625
2010-04-16,5262.60009765625
2010-04-19,5203.64990234375
2010-04-20,5230.10009765625
2010-04-21,5244.89990234375
2010-04-22,5269.35009765625
2010-04-23,5304.10009765625
2010-04-26,5322.4501953125
2010-04-27,5308.35009765625
2010-04-28,5215.4501953125
2010-04-29,5254.14990234375
2010-04-30,5278.0
2010-05-03,5222.75
2010-05-04,5148.5
2010-05-05,5124.89990234375
2010-05-06,5090.85009765625
2010-05-07,5018.0498046875
2010-05-10,5193.60009765625
2010-05-11,5136.14990234375
2010-05-12,5156.64990234375
2010-05-13,5178.89990234375
2010-05-14,5093.5
2010-05-17,5059.89990234375
2010-05-18,5066.2001953125
2010-05-19,4919.64990234375
2010-05-20,4947.60009765625
2010-05-21,4931.14990234375
2010-05-24,4943.9501953125
2010-05-25,4806.75
2010-05-26,4917.39990234375
2010-05-27,5003.10009765625
2010-05-28,5066.5498046875
2010-05-31,5086.2998046875
2010-06-01,4970.2001953125
2010-06-02,5019.85009765625
2010-06-03,5110.5
2010-06-04,5135.5
2010-06-07,5034.0
2010-06-08,4987.10009765625
2010-06-09,5000.2998046875
2010-06-10,5078.60009765625
2010-06-11,5119.35009765625
2010-06-14,5197.7001953125
2010-06-15,5222.35009765625
2010-06-16,5233.35009765625
2010-06-17,5274.85009765625
2010-06-18,5262.60009765625
2010-06-21,5353.2998046875
2010-06-22,5316.5498046875
2010-06-23,5323.14990234375
2010-06-24,5320.60009765625
2010-06-25,5269.0498046875
2010-06-28,5333.5
2010-06-29,5256.14990234375
2010-06-30,5312.5
2010-07-01,5251.39990234375
2010-07-02,5237.10009765625
2010-07-05,5235.89990234375
2010-07-06,5289.0498046875
2010-07-07,5241.10009765625
2010-07-08,5296.85009765625
2010-07-09,5352.4501953125
